min_recall,equal_opportunity,accuracy,threshold
0.6104166666666667,0.12638888888888888,0.8059664076209576,0.5
0.6291666666666667,0.11388888888888893,0.7989471045374781,0.55
0.6479166666666667,0.1013888888888889,0.7936826272248684,0.6
0.6916666666666667,0.07222222222222226,0.7595888693908248,0.65
0.7166666666666667,0.0692307692307692,0.7372775131611933,0.7
0.7333333333333333,0.07521367521367524,0.7262471797442969,0.75
0.85,0.04871794871794877,0.5831035347204814,0.8
0.85,0.0658119658119658,0.5495111556781148,0.8500000000000001
0.93125,0.02873931623931621,0.42667335171722237,0.9
0.9729166666666667,0.018055555555555564,0.2832790172975683,0.95
1.0,0.0,0.1682125846076711,1.0
