min_recall,equal_opportunity,accuracy,threshold
0.8541666666666666,0.0621345029239766,0.61,0.01
0.8333333333333334,0.07602339181286544,0.636,0.017
0.8333333333333334,0.07602339181286544,0.636,0.024
0.625,0.0792902066486972,0.673,0.031
0.625,0.0792902066486972,0.673,0.038
0.625,0.0792902066486972,0.673,0.045
0.625,0.0792902066486972,0.673,0.052
0.625,0.0792902066486972,0.673,0.059
0.625,0.0792902066486972,0.673,0.06599999999999999
0.625,0.0792902066486972,0.673,0.073
0.625,0.0792902066486972,0.673,0.07999999999999999
0.625,0.0792902066486972,0.673,0.08699999999999998
0.625,0.0792902066486972,0.673,0.09399999999999999
0.625,0.0792902066486972,0.673,0.10099999999999999
0.625,0.0792902066486972,0.673,0.10799999999999998
0.625,0.0792902066486972,0.673,0.11499999999999998
0.625,0.0792902066486972,0.673,0.12199999999999998
0.625,0.0792902066486972,0.673,0.129
0.625,0.0792902066486972,0.673,0.136
0.625,0.0792902066486972,0.673,0.143
0.625,0.0792902066486972,0.673,0.15
