min_recall,equal_opportunity,accuracy,threshold
0.692722371967655,0.06450087482858091,0.646,0.5
0.692722371967655,0.06450087482858091,0.646,0.55
0.692722371967655,0.06450087482858091,0.646,0.6
0.692722371967655,0.06450087482858091,0.646,0.65
0.71875,0.06469298245614034,0.638,0.7
0.7395833333333334,0.05080409356725143,0.64,0.75
0.8229166666666666,0.019223569931117106,0.623,0.8
0.8421052631578947,0.03158840497470091,0.607,0.8500000000000001
0.9110512129380054,0.024211472076417422,0.571,0.9
0.9973045822102425,0.0017969451931716396,0.515,0.95
1.0,0.0,0.506,1.0
