min_recall,equal_opportunity,accuracy,threshold
0.48717948717948717,0.09743589743589742,0.7929305590373528,0.5
0.5384615384615384,0.09658119658119661,0.7686136876410128,0.55
0.5384615384615384,0.09658119658119661,0.7686136876410128,0.6
1.0,0.0,0.1351215843569817,0.65
1.0,0.0,0.1351215843569817,0.7
1.0,0.0,0.1351215843569817,0.75
1.0,0.0,0.1351215843569817,0.8
1.0,0.0,0.1351215843569817,0.8500000000000001
1.0,0.0,0.1351215843569817,0.9
1.0,0.0,0.1351215843569817,0.95
1.0,0.0,0.1351215843569817,1.0
