min_recall,equal_opportunity,accuracy,threshold
0.3157894736842105,0.15173263737857043,0.7194785660566558,0.5
0.3684210526315789,0.14970276931999418,0.6924041113060918,0.55
0.5,0.11845730027548207,0.6312358987214841,0.6
0.5,0.11845730027548207,0.6312358987214841,0.65
0.5833333333333334,0.13742690058479531,0.5497618450739534,0.7
0.5833333333333334,0.13742690058479531,0.5497618450739534,0.75
0.7777777777777778,0.05310682583409854,0.416144397092003,0.8
0.7777777777777778,0.05310682583409854,0.416144397092003,0.8500000000000001
0.8333333333333334,0.04093567251461986,0.36074204061168214,0.9
0.8611111111111112,0.09259259259259256,0.25169215342191026,0.95
0.9979338842975206,0.0013774104683195916,0.1378791677112058,1.0
