min_recall,equal_opportunity,accuracy,threshold
1.0,0.0,0.519,0.01
0.9736842105263158,0.01754385964912279,0.537,0.017
0.967654986522911,0.021563342318059304,0.562,0.024
0.9568733153638814,0.028751123090745716,0.567,0.031
0.8921832884097035,0.054333948077741535,0.607,0.038
0.8840970350404312,0.059724783657256385,0.616,0.045
0.7142857142857143,0.15538847117794483,0.678,0.052
0.7008086253369272,0.1292854778455573,0.681,0.059
0.6630727762803235,0.136898850900837,0.686,0.06599999999999999
0.6630727762803235,0.136898850900837,0.686,0.073
0.6630727762803235,0.136898850900837,0.686,0.07999999999999999
0.6630727762803235,0.136898850900837,0.686,0.08699999999999998
0.6630727762803235,0.136898850900837,0.686,0.09399999999999999
0.6630727762803235,0.136898850900837,0.686,0.10099999999999999
0.6630727762803235,0.136898850900837,0.686,0.10799999999999998
0.6630727762803235,0.136898850900837,0.686,0.11499999999999998
0.6630727762803235,0.136898850900837,0.686,0.12199999999999998
0.6630727762803235,0.136898850900837,0.686,0.129
0.6630727762803235,0.136898850900837,0.686,0.136
0.6630727762803235,0.136898850900837,0.686,0.143
0.6630727762803235,0.136898850900837,0.686,0.15
