min_recall,equal_opportunity,accuracy,threshold
0.5333333333333333,0.12335600907029476,0.7442968162446728,0.5
0.5333333333333333,0.12743764172335603,0.7385309601403861,0.55
0.5333333333333333,0.12743764172335603,0.7385309601403861,0.6
0.6,0.10204081632653066,0.7162196039107546,0.65
1.0,0.0,0.1351215843569817,0.7
1.0,0.0,0.1351215843569817,0.75
1.0,0.0,0.1351215843569817,0.8
1.0,0.0,0.1351215843569817,0.8500000000000001
1.0,0.0,0.1351215843569817,0.9
1.0,0.0,0.1351215843569817,0.95
1.0,0.0,0.1351215843569817,1.0
