min_recall,equal_opportunity,accuracy,threshold
0.652542372881356,0.0366270802106153,0.7753369945082377,0.5
0.7391304347826086,0.015720953082780653,0.7408886669995007,0.55
0.7391304347826086,0.015720953082780653,0.7408886669995007,0.6
0.7391304347826086,0.03831982313927784,0.7333999001497753,0.65
0.8389830508474576,0.020388111029231142,0.6969545681477783,0.7
0.8389830508474576,0.020388111029231142,0.6969545681477783,0.75
0.9130434782608695,0.044365572315882895,0.6015976035946081,0.8
0.923728813559322,0.04177716284253815,0.5876185721417874,0.8500000000000001
0.923728813559322,0.04177716284253815,0.5876185721417874,0.9
0.9565217391304348,0.02898550724637679,0.5187219171243135,0.95
0.9745762711864406,0.01694915254237291,0.4148776834747878,1.0
