min_recall,equal_opportunity,accuracy,threshold
0.65,0.0794871794871795,0.7089496114314364,0.5
0.65,0.09658119658119653,0.7044372023063424,0.55
0.65,0.09658119658119653,0.7044372023063424,0.6
0.65,0.11367521367521365,0.6675858611180747,0.65
0.65,0.11367521367521365,0.6675858611180747,0.7
0.9,0.06666666666666665,0.4808222612183505,0.75
0.9,0.06666666666666665,0.4808222612183505,0.8
1.0,0.0,0.1351215843569817,0.8500000000000001
1.0,0.0,0.1351215843569817,0.9
1.0,0.0,0.1351215843569817,0.95
1.0,0.0,0.1351215843569817,1.0
