min_recall,equal_opportunity,accuracy,threshold
0.2631578947368421,0.17304625199362042,0.8490849837051893,0.5
0.3684210526315789,0.18031189083820662,0.8139884682877915,0.55
0.3684210526315789,0.18551544149630275,0.8114815743294058,0.6
0.3684210526315789,0.22132811367261132,0.7904236650789671,0.65
0.42105263157894735,0.23307235029723072,0.7377788919528704,0.7
0.47368421052631576,0.20073945193562423,0.7285033843068438,0.75
0.5263157894736842,0.19319994200376978,0.6916520431185761,0.8
1.0,0.0,0.1351215843569817,0.8500000000000001
1.0,0.0,0.1351215843569817,0.9
1.0,0.0,0.1351215843569817,0.95
1.0,0.0,0.1351215843569817,1.0
