min_recall,equal_opportunity,accuracy,threshold
0.9527777777777777,0.03148148148148152,0.57,0.01
0.9527777777777777,0.03148148148148152,0.57,0.017
0.9527777777777777,0.03148148148148152,0.57,0.024
0.9416666666666667,0.038888888888888896,0.581,0.031
0.9305555555555556,0.027777777777777752,0.583,0.038
0.9194444444444444,0.03518518518518521,0.595,0.045
0.9027777777777778,0.027777777777777752,0.603,0.052
0.24770642201834864,0.05338090383961943,0.607,0.059
0.8527777777777777,0.04259259259259259,0.628,0.06599999999999999
0.8194444444444444,0.06481481481481481,0.647,0.073
0.8194444444444444,0.06481481481481481,0.647,0.07999999999999999
0.8027777777777778,0.07592592592592588,0.647,0.08699999999999998
0.7972222222222223,0.07962962962962956,0.654,0.09399999999999999
0.7833333333333333,0.08888888888888886,0.653,0.10099999999999999
0.7833333333333333,0.08888888888888886,0.653,0.10799999999999998
0.7777777777777778,0.09259259259259256,0.657,0.11499999999999998
0.7555555555555555,0.1074074074074074,0.657,0.12199999999999998
0.7444444444444445,0.11481481481481477,0.658,0.129
0.7444444444444445,0.11481481481481477,0.658,0.136
0.6880733944954128,0.022765885151206255,0.688,0.143
0.6880733944954128,0.022765885151206255,0.688,0.15
