min_recall,equal_opportunity,accuracy,threshold
0.5714285714285714,0.04749206349206355,0.623,0.5
0.5714285714285714,0.04749206349206355,0.623,0.55
0.5714285714285714,0.04749206349206355,0.623,0.6
0.7428571428571429,0.017042606516290675,0.618,0.65
0.7714285714285715,0.040100250626566414,0.61,0.7
0.8,0.056140350877192935,0.589,0.75
0.8857142857142857,0.008634920634920626,0.57,0.8
0.9142857142857143,0.018031746031746065,0.559,0.8500000000000001
0.9473684210526315,0.016040100250626594,0.554,0.9
0.9789473684210527,0.014035087719298215,0.521,0.95
1.0,0.0,0.505,1.0
