min_recall,equal_opportunity,accuracy,threshold
0.41025641025641024,0.0931623931623932,0.8596139383304087,0.5
0.46153846153846156,0.09230769230769227,0.8488342943093508,0.55
0.48717948717948717,0.07521367521367521,0.8388067184758085,0.6
0.5384615384615384,0.04519230769230768,0.8242667335171723,0.65
0.6,0.045833333333333316,0.8077212333918276,0.7
0.6,0.0861111111111111,0.7761343695161694,0.75
0.65,0.07638888888888884,0.7415392328904488,0.8
0.65,0.10555555555555556,0.6926548007019303,0.8500000000000001
0.9,0.04957264957264954,0.5003760340937579,0.9
0.95,0.03333333333333336,0.351215843569817,0.95
0.9979166666666667,0.001388888888888884,0.15843569816996741,1.0
