min_recall,equal_opportunity,accuracy,threshold
0.7093333333333334,0.032374269005847944,0.678,0.01
0.7093333333333334,0.0413968253968254,0.675,0.017
0.712,0.051649122807017576,0.67,0.024
0.712,0.051649122807017576,0.67,0.031
0.712,0.051649122807017576,0.67,0.038
0.712,0.051649122807017576,0.67,0.045
0.712,0.051649122807017576,0.67,0.052
0.712,0.051649122807017576,0.67,0.059
0.712,0.051649122807017576,0.67,0.06599999999999999
0.712,0.051649122807017576,0.67,0.073
0.712,0.051649122807017576,0.67,0.07999999999999999
0.712,0.051649122807017576,0.67,0.08699999999999998
0.712,0.051649122807017576,0.67,0.09399999999999999
0.712,0.051649122807017576,0.67,0.10099999999999999
0.712,0.051649122807017576,0.67,0.10799999999999998
0.712,0.051649122807017576,0.67,0.11499999999999998
0.712,0.051649122807017576,0.67,0.12199999999999998
0.712,0.051649122807017576,0.67,0.129
0.712,0.051649122807017576,0.67,0.136
0.712,0.051649122807017576,0.67,0.143
0.712,0.051649122807017576,0.67,0.15
