min_recall,equal_opportunity,accuracy,threshold
0.9805555555555555,0.01296296296296299,0.526,0.01
0.8777777777777778,0.04444444444444443,0.633,0.017
0.8532110091743119,0.04230377166156981,0.641,0.024
0.8348623853211009,0.05453618756371048,0.653,0.031
0.8348623853211009,0.05453618756371048,0.653,0.038
0.5861111111111111,0.07222222222222219,0.669,0.045
0.6055555555555555,0.07777777777777779,0.671,0.052
0.6055555555555555,0.07777777777777779,0.671,0.059
0.6361111111111111,0.05740740740740743,0.674,0.06599999999999999
0.6361111111111111,0.05740740740740743,0.674,0.073
0.6916666666666667,0.09444444444444448,0.661,0.07999999999999999
0.7083333333333334,0.08333333333333333,0.657,0.08699999999999998
0.7083333333333334,0.08333333333333333,0.657,0.09399999999999999
0.7083333333333334,0.08333333333333333,0.657,0.10099999999999999
0.7083333333333334,0.08333333333333333,0.657,0.10799999999999998
0.7083333333333334,0.08333333333333333,0.657,0.11499999999999998
0.7083333333333334,0.08333333333333333,0.657,0.12199999999999998
0.7083333333333334,0.08333333333333333,0.657,0.129
0.7083333333333334,0.08333333333333333,0.657,0.136
0.7083333333333334,0.08333333333333333,0.657,0.143
0.7083333333333334,0.08333333333333333,0.657,0.15
