min_recall,equal_opportunity,accuracy,threshold
0.5384615384615384,0.08269230769230769,0.6437703685134119,0.5
0.5384615384615384,0.08269230769230769,0.6437703685134119,0.55
0.5384615384615384,0.08269230769230769,0.6437703685134119,0.6
0.8,0.05138888888888885,0.4454750564051141,0.65
0.8,0.05138888888888885,0.4454750564051141,0.7
0.8,0.05138888888888885,0.4454750564051141,0.75
0.9,0.03247863247863244,0.3436951616946603,0.8
0.9,0.03247863247863244,0.3436951616946603,0.8500000000000001
0.9487179487179487,0.03418803418803421,0.23063424417147155,0.9
1.0,0.0,0.14790674354474806,0.95
1.0,0.0,0.14790674354474806,1.0
