min_recall,equal_opportunity,accuracy,threshold
0.5,0.0691823899371069,0.7249126310534199,0.5
0.625,0.11582809224318662,0.6660009985022466,0.55
0.625,0.11582809224318662,0.6660009985022466,0.6
0.75,0.1037735849056604,0.5986020968547179,0.65
0.8125,0.06629979035639415,0.5841238142785822,0.7
0.8125,0.0788784067085954,0.5686470294558162,0.75
0.8125,0.0788784067085954,0.5686470294558162,0.8
0.875,0.04140461215932915,0.5312031952071892,0.8500000000000001
0.9375,0.029867256637168122,0.455317024463305,0.9
0.9685534591194969,0.02096436058700209,0.3909136295556665,0.95
0.9874213836477987,0.008385744234800837,0.24063904143784323,1.0
