min_recall,equal_opportunity,accuracy,threshold
1.0,0.0,0.505,0.01
0.0,0.016666666666666666,0.499,0.017
0.0,0.016666666666666666,0.499,0.024
0.0,0.016666666666666666,0.499,0.031
0.0,0.016666666666666666,0.499,0.038
0.0,0.016666666666666666,0.499,0.045
0.0,0.016666666666666666,0.499,0.052
0.0,0.016666666666666666,0.499,0.059
0.0,0.016666666666666666,0.499,0.06599999999999999
0.0,0.016666666666666666,0.499,0.073
0.0,0.016666666666666666,0.499,0.07999999999999999
0.0,0.016666666666666666,0.499,0.08699999999999998
0.0,0.016666666666666666,0.499,0.09399999999999999
0.0,0.016666666666666666,0.499,0.10099999999999999
0.0,0.016666666666666666,0.499,0.10799999999999998
0.0,0.016666666666666666,0.499,0.11499999999999998
0.0,0.016666666666666666,0.499,0.12199999999999998
0.0,0.016666666666666666,0.499,0.129
0.0,0.016666666666666666,0.499,0.136
0.0,0.016666666666666666,0.499,0.143
0.0,0.016666666666666666,0.499,0.15
