min_recall,equal_opportunity,accuracy,threshold
0.12844036697247707,0.05881753312945973,0.575,0.01
0.12844036697247707,0.05881753312945973,0.575,0.017
0.9472222222222222,0.01666666666666668,0.575,0.024
0.9357798165137615,0.005776418620455266,0.585,0.031
0.9138888888888889,0.020370370370370372,0.589,0.038
0.8777777777777778,0.025925925925925908,0.611,0.045
0.5,0.024074074074074064,0.649,0.052
0.5833333333333334,0.055555555555555504,0.647,0.059
0.5833333333333334,0.055555555555555504,0.647,0.06599999999999999
0.5833333333333334,0.055555555555555504,0.647,0.073
0.5833333333333334,0.055555555555555504,0.647,0.07999999999999999
0.5833333333333334,0.055555555555555504,0.647,0.08699999999999998
0.5833333333333334,0.055555555555555504,0.647,0.09399999999999999
0.6055555555555555,0.040740740740740744,0.638,0.10099999999999999
0.6055555555555555,0.040740740740740744,0.638,0.10799999999999998
0.6527777777777778,0.10185185185185186,0.653,0.11499999999999998
0.6527777777777778,0.10185185185185186,0.653,0.12199999999999998
0.6527777777777778,0.10185185185185186,0.653,0.129
0.6527777777777778,0.10185185185185186,0.653,0.136
0.6527777777777778,0.10185185185185186,0.653,0.143
0.6527777777777778,0.10185185185185186,0.653,0.15
