method,iteration,violation,accuracy,accuracy_rank,violation_rank
21multi,0,0.0,0.6996172408054585,0,0
oxonfair,2,-0.07197179203539825,0.6090863704443334,1,1
oxonfair,0,0.0,0.7163255117324014,1,1
21multi,1,-0.11111111111111119,0.7020580240749986,0,0
21multi,2,-0.0833333333333334,0.7582515116214568,0,0
oxonfair,2,-0.06875,0.692461308037943,1,1
oxonfair,1,-0.20489130434782613,0.7265976035946081,1,1
21multi,0,0.0,0.644117157596938,0,0
oxonfair,0,0.0,0.6993509735396906,1,1
21multi,1,-0.12220496894409942,0.7307253405605876,0,0
oxonfair,1,-0.14710144927536237,0.6335496754867699,1,1
21multi,1,-0.1228260869565218,0.7415543351639208,0,0
oxonfair,0,0.0,0.7760858711932102,1,1
21multi,2,-0.059032145352900106,0.690131469462473,0,0
oxonfair,2,-0.06588495575221241,0.5632051922116825,1,1
21multi,0,0.0,0.7100682309868531,0,0
21multi,2,-0.051257861635220135,0.6383424862705941,0,0
oxonfair,0,-0.009740259740259731,0.6471720989943657,1,1
oxonfair,1,-0.1811594202898551,0.6532700948577134,1,1
21multi,1,-0.10923913043478264,0.6279331003494757,0,0
oxonfair,2,-0.04583333333333336,0.6588450657347313,1,1
21multi,0,0.0,0.6957563654518222,0,0
oxonfair,2,-0.14204545454545456,0.750510597739754,1,1
21multi,0,0.0,0.6295001941532146,0,0
oxonfair,0,0.0,0.7190464303544685,1,1
21multi,2,-0.05961538461538465,0.6815929951227007,0,0
oxonfair,1,-0.15489130434782616,0.6565152271592611,1,1
21multi,1,-0.10869565217391311,0.6550174737893161,0,0
oxonfair,2,-0.09403883972468047,0.6866921839463027,1,1
21multi,1,-0.11376811594202903,0.7387807178121706,0,0
21multi,0,0.0,0.6941254784489933,0,0
21multi,2,-0.09861111111111115,0.7467687357852112,0,0
oxonfair,0,0.0,0.6961432850723914,1,1
oxonfair,1,-0.14701086956521742,0.6713679480778832,1,1
oxonfair,0,-0.005050505050505046,0.6899650524213679,1,1
oxonfair,2,-0.06213495575221241,0.6578132800798802,1,1
oxonfair,1,-0.16673913043478264,0.6414877683474788,1,1
21multi,1,-0.12913043478260877,0.7051422865701447,0,0
21multi,0,0.0,0.7322141787319022,0,0
21multi,2,-0.11250000000000006,0.7843859211183225,0,0
oxonfair,2,-0.16676991150442483,0.6652021967049425,1,1
21multi,2,-0.06375000000000001,0.6968547179231153,0,0
21multi,0,0.0,0.7584734010095967,0,0
oxonfair,0,-0.006993006993006987,0.6908483428703099,1,1
oxonfair,1,-0.1962450592885376,0.7029909680933145,1,1
21multi,1,-0.11422924901185777,0.7279989107248219,0,0
21multi,0,0.0,0.6688182012695244,0,0
oxonfair,0,-0.011363636363636354,0.6607588617074389,1,1
oxonfair,1,-0.17826086956521742,0.7497503744383426,1,1
21multi,2,-0.008342068483577943,0.5953292283796527,0,0
21multi,1,-0.12717391304347833,0.6943751040106507,0,0
oxonfair,2,-0.048757658270932626,0.6283267406582435,1,1
oxonfair,2,-0.08634639696586602,0.6683189501462092,1,1
oxonfair,1,-0.16284584980237157,0.6984977079834793,1,1
21multi,2,-0.054166666666666696,0.6899234481610916,0,0
21multi,0,0.0,0.685846230654019,0,0
oxonfair,0,-0.012987012987012976,0.6221382212395693,1,1
21multi,1,-0.1152173913043479,0.6600099850224663,0,0
oxonfair,2,-0.0916666666666667,0.7007155932767516,1,1
oxonfair,1,-0.19836956521739135,0.6711807289066399,1,1
oxonfair,0,-0.012396694214876021,0.6733989924204601,1,1
21multi,1,-0.1133152173913044,0.7693459810284573,0,0
21multi,0,0.0,0.7391769488624206,0,0
21multi,2,-0.07054132973944298,0.6332643891305898,0,0
21multi,1,-0.1278656126482214,0.7274088866699949,0,0
oxonfair,1,-0.18586956521739137,0.6847229156265602,1,1
21multi,0,0.0,0.7209899436559447,0,0
21multi,2,-0.0678683737646002,0.6401825832679552,0,0
oxonfair,0,-0.006493506493506488,0.7067969474359889,1,1
oxonfair,2,-0.028077232502011277,0.6128988335678301,1,1
21multi,0,0.0,0.6953902479613912,0,0
21multi,1,-0.14229249011857714,0.6994508237643535,0,0
oxonfair,0,-0.004132231404958674,0.7208732356011437,1,1
oxonfair,1,-0.13726708074534164,0.7600028528635618,1,1
oxonfair,2,-0.020833333333333332,0.7139291063404892,1,1
21multi,2,-0.11458770090845566,0.7188106728795697,0,0
oxonfair,1,-0.13913043478260873,0.6623065401897155,1,1
21multi,2,-0.0681289308176101,0.689166250624064,0,0
oxonfair,0,-0.006060606060606055,0.6742220003328341,1,1
oxonfair,2,-0.1708333333333334,0.6417041105009154,1,1
21multi,1,-0.1227272727272728,0.7374392956020515,0,0
21multi,0,0.0,0.7178777288612536,0,0
oxonfair,2,-0.0527777777777778,0.6623398235979364,1,1
oxonfair,0,-0.003246753246753244,0.7255188645603025,1,1
21multi,0,0.0,0.7310034947578632,0,0
21multi,1,-0.1161956521739131,0.7308786819770343,0,0
oxonfair,1,-0.21695652173913044,0.7422865701447827,1,1
21multi,2,-0.0020964360587002093,0.5223830920286238,0,0
oxonfair,2,-0.06019279393173201,0.5226446045217886,1,1
21multi,1,-0.11538461538461542,0.6794423748991897,0,0
oxonfair,0,0.0,0.7383924113829257,1,1
21multi,2,-0.07991352201257865,0.6869695456814778,0,0
21multi,0,0.0,0.6918511122205582,0,0
oxonfair,1,-0.2163879598662208,0.7237221091439762,1,1
21multi,2,-0.06641116352201262,0.696080878681977,0,0
oxonfair,0,-0.004545454545454542,0.7196205691462805,1,1
oxonfair,2,-0.08094579646017702,0.6439507405558329,1,1
oxonfair,1,-0.08739130434782613,0.6158761857214179,1,1
21multi,0,0.0,0.6863766849725412,0,0
21multi,1,-0.11425120772946867,0.6681089476895767,0,0
21multi,0,0.0,0.7774588117823265,0,0
oxonfair,2,-0.09176991150442479,0.6310534198701947,1,1
21multi,2,-0.09034448256146374,0.6985884809149912,0,0
21multi,1,-0.13478260869565223,0.6983809999286785,0,0
oxonfair,0,-0.0034965034965034935,0.7148892046545566,1,1
oxonfair,1,-0.20810276679841905,0.6999046884219127,1,1
21multi,1,-0.12065217391304354,0.705004992511233,0,0
oxonfair,0,-0.0028409090909090884,0.7211682476285571,1,1
21multi,2,-0.06250000000000003,0.671492760858712,0,0
oxonfair,2,-0.039285714285714306,0.7108622780115541,1,1
21multi,0,0.0,0.6495257114328508,0,0
oxonfair,1,-0.1590301003344482,0.7031760052229348,1,1
21multi,0,0.0,0.7220835413546348,0,0
