min_recall,equal_opportunity,accuracy,threshold
0.5714285714285714,0.051047619047619085,0.641,0.01
0.6,0.05333333333333338,0.647,0.017
0.6,0.05333333333333338,0.647,0.024
0.6,0.05333333333333338,0.647,0.031
0.6,0.05333333333333338,0.647,0.038
0.6,0.05333333333333338,0.647,0.045
0.6,0.05333333333333338,0.647,0.052
0.6,0.05333333333333338,0.647,0.059
0.6,0.05333333333333338,0.647,0.06599999999999999
0.6,0.05333333333333338,0.647,0.073
0.6,0.05333333333333338,0.647,0.07999999999999999
0.6,0.05333333333333338,0.647,0.08699999999999998
0.6,0.05333333333333338,0.647,0.09399999999999999
0.6,0.05333333333333338,0.647,0.10099999999999999
0.6,0.05333333333333338,0.647,0.10799999999999998
0.6,0.05333333333333338,0.647,0.11499999999999998
0.6,0.05333333333333338,0.647,0.12199999999999998
0.6,0.05333333333333338,0.647,0.129
0.6,0.05333333333333338,0.647,0.136
0.6,0.05333333333333338,0.647,0.143
0.6,0.05333333333333338,0.647,0.15
