min_recall,equal_opportunity,accuracy,threshold
0.3333333333333333,0.10294784580498868,0.8616194534971171,0.5
0.4,0.0870748299319728,0.8548508398094761,0.55
0.4,0.12549019607843137,0.8448232639759338,0.6
0.4666666666666667,0.08104575163398693,0.834544998746553,0.65
0.5882352941176471,0.021448579431772696,0.8169967410378541,0.7
0.6,0.0435374149659864,0.7969415893707696,0.75
0.6470588235294118,0.1019607843137255,0.7528202557031838,0.8
0.7058823529411765,0.10718954248366012,0.6896465279518676,0.8500000000000001
0.7647058823529411,0.08067226890756303,0.6192028077212334,0.9
0.7941176470588235,0.13725490196078435,0.4687891702180998,0.95
0.9411764705882353,0.03921568627450981,0.2138380546502883,1.0
