min_recall,equal_opportunity,accuracy,threshold
0.0,0.06944444444444445,0.53,0.01
0.0,0.06944444444444445,0.53,0.017
0.0,0.06944444444444445,0.53,0.024
0.9299191374663073,0.011998352800239568,0.565,0.031
0.9299191374663073,0.011998352800239568,0.565,0.038
0.628032345013477,0.037452120868208295,0.642,0.045
0.628032345013477,0.037452120868208295,0.642,0.052
0.40700808625336926,0.009363030217052057,0.607,0.059
0.40700808625336926,0.009363030217052057,0.607,0.06599999999999999
0.5416666666666666,0.07748538011695912,0.631,0.073
0.5416666666666666,0.07748538011695912,0.631,0.07999999999999999
0.5416666666666666,0.07748538011695912,0.631,0.08699999999999998
0.5416666666666666,0.07748538011695912,0.631,0.09399999999999999
0.5416666666666666,0.07748538011695912,0.631,0.10099999999999999
0.5416666666666666,0.07748538011695912,0.631,0.10799999999999998
0.5416666666666666,0.07748538011695912,0.631,0.11499999999999998
0.5416666666666666,0.07748538011695912,0.631,0.12199999999999998
0.5416666666666666,0.07748538011695912,0.631,0.129
0.5416666666666666,0.07748538011695912,0.631,0.136
0.5416666666666666,0.07748538011695912,0.631,0.143
0.5416666666666666,0.07748538011695912,0.631,0.15
